date,symbol,open,close,volume,open_interest,first_notice,till_notice_cd,is_passed,Best_Vol,Best_Oi,B_V_3,auto_roll,Auto_Best_V,Forced_roll_V,Forced_Best_V,+2_Forced_Roll_V,+2_Forced_Best_V,auto_roll_hold,+1_auto_roll_hold,forced_roll_hold,f_r_h_Best_V,confirm_forced_roll_hold,Test_Hold,Test_Best_V
1989-05-11,ZC-1990K,267.0,268.5,90,1451,1990-04-30,354,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-11,ZC-1990N,269.0,269.5,136,689,1990-06-29,414,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-12,ZC-1989K,276.5,278.25,1412,6930,1989-04-28,-14,true,"","","",ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-12,ZC-1989N,273.0,274.5,18234,75732,1989-06-30,49,false,true,true,true,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-12,ZC-1989U,262.0,262.5,1569,15870,1989-08-31,111,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-12,ZC-1989Z,259.0,258.5,7141,57607,1989-11-30,202,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-12,ZC-1990H,265.25,265.5,258,7284,1990-02-28,292,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-12,ZC-1990K,267.75,267.5,10,1452,1990-04-30,353,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-12,ZC-1990N,269.25,268.5,45,722,1990-06-29,413,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-15,ZC-1989K,279.0,280.75,2120,5661,1989-04-28,-17,true,"","","",ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-15,ZC-1989N,275.25,276.0,16953,75217,1989-06-30,46,false,true,true,true,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-15,ZC-1989U,263.25,264.5,1422,16356,1989-08-31,108,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-15,ZC-1989Z,260.5,260.5,8345,57792,1989-11-30,199,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-15,ZC-1990H,266.25,267.25,526,7355,1990-02-28,289,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-15,ZC-1990K,269.0,269.0,35,1456,1990-04-30,350,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
